,USPS,STNAME
0,1,Alabama
1,2,Alaska
2,4,Arizona
3,5,Arkansas
4,6,California
5,8,Colorado
6,9,Connecticut
7,10,Delaware
8,11,District of Columbia
9,12,Florida
10,13,Georgia
11,15,Hawaii
12,16,Idaho
13,17,Illinois
14,18,Indiana
15,19,Iowa
16,20,Kansas
17,21,Kentucky
18,22,Louisiana
19,23,Maine
20,24,Maryland
21,25,Massachusetts
22,26,Michigan
23,27,Minnesota
24,28,Mississippi
25,29,Missouri
26,30,Montana
27,31,Nebraska
28,32,Nevada
29,33,New Hampshire
30,34,New Jersey
31,35,New Mexico
32,36,New York
33,37,North Carolina
34,38,North Dakota
35,39,Ohio
36,40,Oklahoma
37,41,Oregon
38,42,Pennsylvania
39,44,Rhode Island
40,45,South Carolina
41,46,South Dakota
42,47,Tennessee
43,48,Texas
44,49,Utah
45,50,Vermont
46,51,Virginia
47,53,Washington
48,54,West Virginia
49,55,Wisconsin
50,56,Wyoming
51,72,Puerto Rico
52,78,Virgin Islands
53,93,Wyoming
54,94,Montana
55,96,Iowa
56,97,Pennsylvania
