,USPS,STABBREV
0,1,AL
1,2,AK
2,4,AZ
3,5,AR
4,6,CA
5,8,CO
6,9,CT
7,10,DE
8,11,DC
9,12,FL
10,13,GA
11,15,HI
12,16,ID
13,17,IL
14,18,IN
15,19,IA
16,20,KS
17,21,KY
18,22,LA
19,23,ME
20,24,MD
21,25,MA
22,26,MI
23,27,MN
24,28,MS
25,29,MO
26,30,MT
27,31,NE
28,32,NV
29,33,NH
30,34,NJ
31,35,NM
32,36,NY
33,37,NC
34,38,ND
35,39,OH
36,40,OK
37,41,OR
38,42,PA
39,44,RI
40,45,SC
41,46,SD
42,47,TN
43,48,TX
44,49,UT
45,50,VT
46,51,VA
47,53,WA
48,54,WV
49,55,WI
50,56,WY
51,72,PR
52,78,VI
53,93,WY
54,94,MT
55,96,IA
56,97,PA
