,STNAME,STABBREV
0,Alabama,AL
1,Alaska,AK
2,Amer. Samoa,AS
3,Arizona,AZ
4,Arkansas,AR
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,Dist. Of Col.,DC
10,Florida,FL
11,Georgia,GA
12,Hawaii,HI
13,Idaho,ID
14,Illinois,IL
15,Indiana,IN
16,Iowa,IA
17,Kansas,KS
18,Kentucky,KY
19,Louisiana,LA
20,Maine,ME
21,Maryland,MD
22,Massachusetts,MA
23,Michigan,MI
24,Minnesota,MN
25,Mississippi,MS
26,Missouri,MO
27,Montana,MT
28,Nebraska,NE
29,Nevada,NV
30,New Hampshire,NH
31,New Jersey,NJ
32,New Mexico,NM
33,New York,NY
34,North Carolina,NC
35,North Dakota,ND
36,Ohio,OH
37,Oklahoma,OK
38,Oregon,OR
39,Pennsylvania,PA
40,Puerto Rico,PR
41,Rhode Island,RI
42,South Carolina,SC
43,South Dakota,SD
44,Tennessee,TN
45,Texas,TX
46,Utah,UT
47,Vermont,VT
48,Virginia,VA
49,Washington,WA
50,West Virginia,WV
51,Wisconsin,WI
52,Wyoming,WY
53,N. Mariana Islands,MP
54,Virgin Islands,VI
55,Guam,GU
